kernel,shape_id,repeat,round,best_so_far_ms,new_configs_tested,improvement_pct
attention,ATN_001,0,0,15.39199985563755,11,0.0
attention,ATN_001,0,1,13.344000093638897,15,13.305611884140855
attention,ATN_001,0,2,11.296000331640244,15,26.61122376828171
attention,ATN_001,0,3,11.264000087976456,15,26.819125561186596
attention,ATN_001,1,0,15.32800029963255,11,0.0
attention,ATN_001,1,1,13.344000093638897,15,12.943633658731162
attention,ATN_001,1,2,11.296000331640244,15,26.304800947120043
attention,ATN_001,1,3,11.296000331640244,15,26.304800947120043
attention,ATN_001,2,0,15.32800029963255,11,0.0
attention,ATN_001,2,1,13.311999849975109,15,13.152403511538088
attention,ATN_001,2,2,11.296000331640244,15,26.304800947120043
attention,ATN_001,2,3,11.296000331640244,15,26.304800947120043
attention,ATN_002,0,0,21.536000072956085,11,0.0
attention,ATN_002,0,1,19.45599913597107,15,9.65825097482696
attention,ATN_002,0,2,17.503999173641205,15,18.722143785549488
attention,ATN_002,0,3,17.44000054895878,15,19.019314218617943
attention,ATN_002,1,0,21.536000072956085,11,0.0
attention,ATN_002,2,0,21.536000072956085,11,0.0
attention,ATN_002,2,1,21.536000072956085,15,0.0
attention,ATN_002,2,2,19.487999379634857,15,9.50966143380085
attention,ATN_002,2,3,17.535999417304993,15,18.573554244523375
attention,ATN_003,0,0,35.87200120091438,11,0.0
attention,ATN_003,0,1,31.775999814271927,15,11.418379932865436
attention,ATN_003,0,2,27.68000029027462,15,22.836754673254603
attention,ATN_003,0,3,27.68000029027462,15,22.836754673254603
attention,ATN_003,1,0,35.87200120091438,11,0.0
attention,ATN_003,1,1,33.88800099492073,15,5.530776481862628
attention,ATN_003,1,2,29.7279991209507,15,17.12756989929815
attention,ATN_003,1,3,27.68000029027462,15,22.836754673254603
attention,ATN_003,2,0,35.87200120091438,11,0.0
attention,ATN_004,0,0,15.424000099301338,11,0.0
attention,ATN_004,0,1,13.439999893307686,15,12.863071792145034
attention,ATN_004,0,2,13.344000093638897,15,13.4854771283142
attention,ATN_004,0,3,13.344000093638897,15,13.4854771283142
attention,ATN_004,1,0,15.424000099301338,11,0.0
attention,ATN_004,1,1,15.359999611973763,15,0.4149409162054836
attention,ATN_004,1,2,13.344000093638897,15,13.4854771283142
attention,ATN_004,1,3,13.311999849975109,15,13.69294758641694
attention,ATN_004,2,0,15.39199985563755,11,0.0
attention,ATN_004,2,1,15.32800029963255,15,0.41579753511731143
attention,ATN_004,2,2,13.344000093638897,15,13.305611884140855
attention,ATN_004,2,3,13.344000093638897,15,13.305611884140855
attention,ATN_005,0,0,29.7279991209507,11,0.0
attention,ATN_005,1,0,29.69600073993206,11,0.0
attention,ATN_005,1,1,25.631999596953392,15,13.685348335521244
attention,ATN_005,1,2,23.64799939095974,15,20.366383345483975
attention,ATN_005,1,3,23.64799939095974,15,20.366383345483975
attention,ATN_005,2,0,29.69600073993206,11,0.0
attention,ATN_005,2,1,27.68000029027462,15,6.788794448494658
attention,ATN_005,2,2,23.64799939095974,15,20.366383345483975
attention,ATN_005,2,3,21.536000072956085,15,27.478449837197317
attention,ATN_006,0,0,21.568000316619873,11,0.0
attention,ATN_006,0,1,19.487999379634857,15,9.64392111670273
attention,ATN_006,0,2,19.29599978029728,15,10.534126961097247
attention,ATN_006,0,3,17.44000054895878,15,19.13946451716314
attention,ATN_006,1,0,21.536000072956085,11,0.0
attention,ATN_006,2,0,21.568000316619873,11,0.0
attention,ATN_006,2,1,21.568000316619873,15,0.0
attention,ATN_006,2,2,19.487999379634857,15,9.64392111670273
attention,ATN_006,2,3,19.45599913597107,15,9.792290196793708
attention,ATN_007,0,0,52.22399905323982,11,0.0
attention,ATN_007,0,1,52.22399905323982,15,0.0
attention,ATN_007,0,2,52.22399905323982,15,0.0
attention,ATN_007,1,0,60.416001826524734,11,0.0
attention,ATN_007,1,1,52.22399905323982,15,13.559326214281755
attention,ATN_007,1,2,52.22399905323982,15,13.559326214281755
attention,ATN_007,1,3,52.22399905323982,15,13.559326214281755
attention,ATN_007,2,0,60.416001826524734,11,0.0
attention,ATN_007,2,1,52.22399905323982,15,13.559326214281755
attention,ATN_007,2,2,52.22399905323982,15,13.559326214281755
attention,ATN_007,2,3,52.22399905323982,15,13.559326214281755
attention,ATN_101,0,0,19.45599913597107,11,0.0
attention,ATN_101,0,1,15.39199985563755,15,20.888155123423225
attention,ATN_101,0,2,13.344000093638897,15,31.4144701570841
attention,ATN_101,0,3,13.344000093638897,15,31.4144701570841
attention,ATN_101,1,0,19.392000511288643,11,0.0
attention,ATN_101,1,1,15.39199985563755,15,20.62706554345735
attention,ATN_101,1,2,13.311999849975109,15,31.35313789711479
attention,ATN_101,1,3,13.344000093638897,15,31.18812014329842
attention,ATN_101,2,0,19.45599913597107,11,0.0
attention,ATN_101,2,1,15.39199985563755,15,20.888155123423225
attention,ATN_101,2,2,13.344000093638897,15,31.4144701570841
attention,ATN_101,2,3,13.344000093638897,15,31.4144701570841
attention,ATN_102,0,0,29.69600073993206,11,0.0
attention,ATN_102,1,0,29.69600073993206,11,0.0
attention,ATN_102,1,1,25.631999596953392,15,13.685348335521244
attention,ATN_102,1,2,23.615999147295952,15,20.4741427840159
attention,ATN_102,1,3,23.584000766277313,15,20.581895950170733
attention,ATN_102,2,0,27.648000046610832,11,0.0
attention,ATN_103,0,0,66.59200042486191,11,0.0
attention,ATN_103,0,1,54.30399999022484,15,18.452667521982693
attention,ATN_103,0,2,46.112000942230225,15,30.754444005237513
attention,ATN_103,0,3,46.112000942230225,15,30.754444005237513
attention,ATN_103,1,0,66.6240006685257,11,0.0
attention,ATN_103,1,1,66.72000139951706,15,-0.1440933147635427
attention,ATN_103,1,2,54.30399999022484,15,18.491835606805633
attention,ATN_103,1,3,46.112000942230225,15,30.787703410890614
attention,ATN_103,2,0,68.51200014352798,11,0.0
attention,ATN_103,2,1,54.30399999022484,15,20.737973090171575
attention,ATN_103,2,2,46.112000942230225,15,32.69500110107906
attention,ATN_103,2,3,46.112000942230225,15,32.69500110107906
attention,ATN_104,0,0,82.8159973025322,11,0.0
attention,ATN_104,0,1,76.83199644088745,15,7.225658153683525
attention,ATN_104,0,2,76.80000364780426,15,7.264289328970008
attention,ATN_104,0,3,74.87999647855759,15,9.582690642465954
attention,ATN_104,1,0,76.83199644088745,11,0.0
attention,ATN_104,1,1,74.75200295448303,15,2.707196978806495
attention,ATN_104,1,2,74.68800246715546,15,2.790496242514703
attention,ATN_104,1,3,73.69600236415863,15,4.081625132755171
attention,ATN_104,2,0,82.91199803352356,11,0.0
attention,ATN_104,2,1,76.83199644088745,15,7.333078127218451
attention,ATN_104,2,2,76.76800340414047,15,7.410260004708732
attention,ATN_104,2,3,76.76800340414047,15,7.410260004708732
attention,ATN_105,0,0,11.296000331640244,11,0.0
attention,ATN_105,0,1,11.247999966144562,15,0.4249324016150399
attention,ATN_105,0,2,9.216000325977802,15,18.413597243232495
attention,ATN_105,0,3,9.216000325977802,15,18.413597243232495
attention,ATN_105,1,0,11.296000331640244,11,0.0
attention,ATN_105,1,1,9.216000325977802,15,18.413597243232495
attention,ATN_105,1,2,9.216000325977802,15,18.413597243232495
attention,ATN_105,1,3,9.279999881982803,15,17.847028952456707
attention,ATN_105,2,0,11.296000331640244,11,0.0
attention,ATN_105,2,1,9.279999881982803,15,17.847028952456707
attention,ATN_105,2,2,9.216000325977802,15,18.413597243232495
attention,ATN_105,2,3,8.975999895483255,15,20.53824688424129
