kernel,shape_id,repeat,round,best_so_far_ms,new_configs_tested,improvement_pct
layernorm,LN_001,0,0,7.135999854654074,11,0.0
layernorm,LN_001,0,1,7.135999854654074,15,0.0
layernorm,LN_001,0,2,7.135999854654074,15,0.0
layernorm,LN_001,1,0,7.135999854654074,11,0.0
layernorm,LN_001,1,1,7.135999854654074,15,0.0
layernorm,LN_001,1,2,7.135999854654074,15,0.0
layernorm,LN_001,2,0,7.135999854654074,11,0.0
layernorm,LN_001,2,1,7.135999854654074,15,0.0
layernorm,LN_001,2,2,7.135999854654074,15,0.0
layernorm,LN_002,0,0,9.184000082314014,11,0.0
layernorm,LN_002,0,1,9.184000082314014,15,0.0
layernorm,LN_002,0,2,9.184000082314014,15,0.0
layernorm,LN_002,1,0,9.184000082314014,11,0.0
layernorm,LN_002,1,1,9.184000082314014,15,0.0
layernorm,LN_002,1,2,9.184000082314014,15,0.0
layernorm,LN_002,2,0,9.184000082314014,11,0.0
layernorm,LN_002,2,1,9.184000082314014,15,0.0
layernorm,LN_002,2,2,7.23200011998415,15,21.254354800027787
layernorm,LN_002,2,3,7.168000098317862,15,21.951219141193633
layernorm,LN_003,0,0,7.168000098317862,11,0.0
layernorm,LN_003,0,1,7.168000098317862,15,0.0
layernorm,LN_003,0,2,7.168000098317862,15,0.0
layernorm,LN_003,1,0,7.135999854654074,11,0.0
layernorm,LN_003,1,1,7.199999876320362,15,-0.8968613084338529
layernorm,LN_003,1,2,7.199999876320362,15,-0.8968613084338529
layernorm,LN_003,2,0,7.135999854654074,11,0.0
layernorm,LN_003,2,1,7.135999854654074,15,0.0
layernorm,LN_003,2,2,7.168000098317862,15,-0.44843391697825497
layernorm,LN_004,0,0,11.19999960064888,11,0.0
layernorm,LN_004,1,0,9.184000082314014,11,0.0
layernorm,LN_004,1,1,11.19999960064888,15,-21.95121407083994
layernorm,LN_004,1,2,9.184000082314014,15,0.0
layernorm,LN_004,1,3,9.184000082314014,15,0.0
layernorm,LN_004,2,0,9.151999838650227,11,0.0
layernorm,LN_004,2,1,11.19999960064888,15,-22.377620171600665
layernorm,LN_004,2,2,11.19999960064888,15,-22.377620171600665
layernorm,LN_005,0,0,11.19999960064888,11,0.0
layernorm,LN_005,0,1,11.168000288307667,15,0.28570815609099953
layernorm,LN_005,0,2,9.184000082314014,15,17.999996341232613
layernorm,LN_005,0,3,9.184000082314014,15,17.999996341232613
layernorm,LN_005,1,0,9.184000082314014,11,0.0
layernorm,LN_005,1,1,9.247999638319016,15,-0.696859270812154
layernorm,LN_005,1,2,9.184000082314014,15,0.0
layernorm,LN_005,2,0,11.19999960064888,11,0.0
layernorm,LN_005,2,1,9.184000082314014,15,17.999996341232613
layernorm,LN_005,2,2,9.184000082314014,15,17.999996341232613
layernorm,LN_005,2,3,9.184000082314014,15,17.999996341232613
layernorm,LN_006,0,0,19.29599978029728,11,0.0
layernorm,LN_006,0,1,21.407999098300934,15,-10.945270222070434
layernorm,LN_006,0,2,21.407999098300934,15,-10.945270222070434
layernorm,LN_006,1,0,21.47199958562851,11,0.0
layernorm,LN_006,1,1,21.47199958562851,15,0.0
layernorm,LN_006,1,2,21.47199958562851,15,0.0
