kernel,shape_id,repeat,round,best_so_far_ms,new_configs_tested,improvement_pct
matmul,MM_001,0,0,9.247999638319016,11,0.0
matmul,MM_001,0,1,9.247999638319016,15,0.0
matmul,MM_001,0,2,9.247999638319016,15,0.0
matmul,MM_001,1,0,9.247999638319016,11,0.0
matmul,MM_001,1,1,9.247999638319016,15,0.0
matmul,MM_001,1,2,9.216000325977802,15,0.34601333902116865
matmul,MM_001,2,0,9.247999638319016,11,0.0
matmul,MM_001,2,1,9.216000325977802,15,0.34601333902116865
matmul,MM_001,2,2,9.231999982148409,15,0.17300666951058433
matmul,MM_002,0,0,15.39199985563755,11,0.0
matmul,MM_002,0,1,13.407999649643898,15,12.889814349023546
matmul,MM_002,0,2,13.344000093638897,15,13.305611884140855
matmul,MM_002,0,3,13.311999849975109,15,13.51351367704574
matmul,MM_002,1,0,15.39199985563755,11,0.0
matmul,MM_002,1,1,13.311999849975109,15,13.51351367704574
matmul,MM_002,1,2,13.311999849975109,15,13.51351367704574
matmul,MM_002,1,3,13.21600005030632,15,14.137213005067938
matmul,MM_002,2,0,13.344000093638897,11,0.0
matmul,MM_002,2,1,13.311999849975109,15,0.2398099778119936
matmul,MM_002,2,2,13.311999849975109,15,0.2398099778119936
matmul,MM_003,0,0,142.20799505710602,11,0.0
matmul,MM_003,0,1,132.1280002593994,15,7.088205409026976
matmul,MM_003,0,2,132.1599930524826,15,7.065708225890161
matmul,MM_003,0,3,134.20799374580383,15,5.625563673891647
matmul,MM_003,1,0,136.22400164604187,11,0.0
matmul,MM_003,1,1,103.55199873447418,15,23.98402815713864
matmul,MM_003,1,2,103.4879982471466,15,24.031009956641107
matmul,MM_003,1,3,103.58399897813797,15,23.96053725738741
matmul,MM_003,2,0,140.3840035200119,11,0.0
matmul,MM_003,2,1,132.1599930524826,15,5.858224770144096
matmul,MM_003,2,2,132.32000172138214,15,5.744245495520597
matmul,MM_003,2,3,134.07999277114868,15,4.490547776666432
matmul,MM_004,0,0,33.824000507593155,11,0.0
matmul,MM_004,0,1,27.68000029027462,15,18.16461721001709
matmul,MM_004,1,0,29.69600073993206,11,0.0
matmul,MM_004,1,1,25.599999353289604,15,13.793107774053171
matmul,MM_004,1,2,23.520000278949738,15,20.797414827234586
matmul,MM_004,1,3,21.536000072956085,15,27.478449837197317
matmul,MM_004,2,0,27.68000029027462,11,0.0
matmul,MM_004,2,1,25.631999596953392,15,7.39884635781884
matmul,MM_004,2,2,21.536000072956085,15,22.196532344247235
matmul,MM_004,2,3,19.487999379634857,15,29.59537870206608
matmul,MM_005,0,0,29.7279991209507,11,0.0
matmul,MM_005,0,1,25.631999596953392,15,13.778254995677344
matmul,MM_005,0,2,25.631999596953392,15,13.778254995677344
matmul,MM_005,0,3,25.631999596953392,15,13.778254995677344
matmul,MM_005,1,0,29.7279991209507,11,0.0
matmul,MM_005,1,1,25.631999596953392,15,13.778254995677344
matmul,MM_005,1,2,23.584000766277313,15,20.667379360703173
matmul,MM_005,1,3,23.584000766277313,15,20.667379360703173
matmul,MM_005,2,0,27.583999559283257,11,0.0
matmul,MM_005,2,1,23.520000278949738,15,14.73317628068842
matmul,MM_005,2,2,21.63200080394745,15,21.57772205058165
matmul,MM_005,2,3,21.663999184966087,15,21.46171863726275
matmul,MM_006,0,0,50.20799860358238,11,0.0
matmul,MM_006,0,1,44.064000248909,15,12.237090753573687
matmul,MM_006,0,2,39.96799886226654,15,20.39515620243267
matmul,MM_006,0,3,39.872001856565475,15,20.586354832872036
matmul,MM_006,1,0,50.20799860358238,11,0.0
matmul,MM_006,1,1,39.93599861860275,15,20.458891552484058
matmul,MM_006,1,2,39.903998374938965,15,20.522626902535443
matmul,MM_006,1,3,39.93599861860275,15,20.458891552484058
matmul,MM_006,2,0,50.20799860358238,11,0.0
matmul,MM_006,2,1,39.96799886226654,15,20.39515620243267
matmul,MM_006,2,2,39.93599861860275,15,20.458891552484058
matmul,MM_006,2,3,39.93599861860275,15,20.458891552484058
matmul,MM_007,0,0,271.39198780059814,11,0.0
matmul,MM_007,0,1,212.12799847126007,15,21.837044567756934
matmul,MM_007,0,2,201.7280012369156,15,25.669138992735224
matmul,MM_007,0,3,215.96799790859222,15,20.422117226514438
matmul,MM_007,1,0,263.2000148296356,11,0.0
matmul,MM_007,1,1,234.68799889087677,15,10.832832193119039
matmul,MM_007,1,2,236.54399812221527,15,10.127665351643039
matmul,MM_007,1,3,226.30399465560913,15,14.018243957132215
matmul,MM_007,2,0,275.519996881485,11,0.0
matmul,MM_007,2,1,244.73600089550018,15,11.173053257265588
matmul,MM_007,2,2,234.6239984035492,15,14.843205190484673
matmul,MM_007,2,3,230.30400276184082,15,16.411147877260554
matmul,MM_101,0,0,25.66399984061718,11,0.0
matmul,MM_101,0,1,25.599999353289604,15,0.2493784590283748
matmul,MM_101,0,2,25.567999109625816,15,0.37406768854256217
matmul,MM_101,1,0,23.552000522613525,11,0.0
matmul,MM_101,1,1,23.552000522613525,15,0.0
matmul,MM_101,1,2,23.552000522613525,15,0.0
matmul,MM_101,2,0,25.631999596953392,11,0.0
matmul,MM_101,2,1,25.631999596953392,15,0.0
matmul,MM_101,2,2,25.599999353289604,15,0.1248448976551614
matmul,MM_102,0,0,19.487999379634857,11,0.0
matmul,MM_102,0,1,17.44000054895878,15,10.509025532996768
matmul,MM_102,0,2,17.40800030529499,15,10.673230401030725
matmul,MM_102,0,3,17.40800030529499,15,10.673230401030725
matmul,MM_102,1,0,23.552000522613525,11,0.0
matmul,MM_102,1,1,19.487999379634857,15,17.255439252714883
matmul,MM_102,1,2,17.44000054895878,15,25.951086268813096
matmul,MM_102,1,3,17.44000054895878,15,25.951086268813096
matmul,MM_102,2,0,19.487999379634857,11,0.0
matmul,MM_102,2,1,17.40800030529499,15,10.673230401030725
matmul,MM_102,2,2,17.44000054895878,15,10.509025532996768
matmul,MM_102,2,3,17.44000054895878,15,10.509025532996768
matmul,MM_103,0,0,552.9279708862305,11,0.0
matmul,MM_103,0,1,485.3920042514801,15,12.214243118593552
matmul,MM_103,0,2,480.22401332855225,15,13.148902096804516
matmul,MM_103,0,3,453.69601249694824,15,17.946633850017335
matmul,MM_103,1,0,496.5760111808777,11,0.0
matmul,MM_103,1,1,474.2400050163269,15,4.498003460021128
matmul,MM_103,1,2,461.85600757598877,15,6.991880965478649
matmul,MM_103,1,3,417.83998906612396,15,15.855784480510104
matmul,MM_103,2,0,568.4159994125366,11,0.0
matmul,MM_103,2,1,392.12799072265625,15,31.01390686962994
matmul,MM_103,2,2,412.1600091457367,15,27.48972415067345
matmul,MM_103,2,3,412.6400053501129,15,27.40527962327234
matmul,MM_104,0,0,293.88800263404846,11,0.0
matmul,MM_104,0,1,283.7759852409363,15,3.440772437962955
matmul,MM_104,0,2,226.33600234985352,15,22.98562706838741
matmul,MM_104,0,3,228.2239943742752,15,22.343208185173374
matmul,MM_104,1,0,287.87198662757874,11,0.0
matmul,MM_104,1,1,277.6640057563782,15,3.5460139733591625
matmul,MM_104,1,2,250.91201066970825,15,12.839031817877355
matmul,MM_104,1,3,242.8160011768341,15,15.651396295476905
matmul,MM_104,2,0,291.7439937591553,11,0.0
matmul,MM_104,2,1,284.67199206352234,15,2.424043629659473
matmul,MM_104,2,2,281.6320061683655,15,3.466048250212681
matmul,MM_104,2,3,283.6480140686035,15,2.7750287456595486
matmul,MM_105,0,0,9.247999638319016,11,0.0
matmul,MM_105,0,1,7.199999876320362,15,22.145327012263085
matmul,MM_105,0,2,7.199999876320362,15,22.145327012263085
matmul,MM_105,0,3,7.168000098317862,15,22.491345386549234
matmul,MM_105,1,0,7.296000141650438,11,0.0
matmul,MM_105,1,1,9.151999838650227,15,-25.43859184437927
matmul,MM_105,1,2,7.199999876320362,15,1.3157930847896044
matmul,MM_105,1,3,7.199999876320362,15,1.3157930847896044
matmul,MM_105,2,0,7.2639998979866505,11,0.0
matmul,MM_105,2,1,7.199999876320362,15,0.881057579365153
matmul,MM_105,2,2,7.199999876320362,15,0.881057579365153
matmul,MM_105,2,3,7.199999876320362,15,0.881057579365153
