kernel,shape_id,shape_label,split,repeat,arm,generation,config_hash,config,status,perf_ms,compile_time_s,seeded_by_heuristic
fp8_gemm,FP8_001,256x256x256,train,0,heuristics,0,d85284f56ba9da5d,"{""atomic_indexing"": [], ""block_sizes"": [16, 32, 256], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [16], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 8, ""num_warps"": 2, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, null]}",ok,0.007199999876320362,,1
fp8_gemm,FP8_001,256x256x256,train,1,heuristics,0,d85284f56ba9da5d,"{""atomic_indexing"": [], ""block_sizes"": [16, 32, 256], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [16], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 8, ""num_warps"": 2, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, null]}",ok,0.007199999876320362,,1
fp8_gemm,FP8_001,256x256x256,train,2,heuristics,0,d85284f56ba9da5d,"{""atomic_indexing"": [], ""block_sizes"": [16, 32, 256], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [16], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 8, ""num_warps"": 2, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, null]}",ok,0.007199999876320362,,1
fp8_gemm,FP8_002,512x512x512,train,0,heuristics,0,b7c3f7673d60d8c9,"{""atomic_indexing"": [], ""block_sizes"": [64, 32, 128], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [32], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 4, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, null]}",ok,0.009216000325977802,,1
fp8_gemm,FP8_002,512x512x512,train,1,heuristics,0,b7c3f7673d60d8c9,"{""atomic_indexing"": [], ""block_sizes"": [64, 32, 128], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [32], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 4, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, null]}",ok,0.009216000325977802,,1
fp8_gemm,FP8_002,512x512x512,train,2,heuristics,0,b7c3f7673d60d8c9,"{""atomic_indexing"": [], ""block_sizes"": [64, 32, 128], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [32], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 4, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, null]}",ok,0.009216000325977802,,1
fp8_gemm,FP8_003,1024x1024x1024,train,0,heuristics,0,8a311ee7bb16499b,"{""atomic_indexing"": [], ""block_sizes"": [128, 64, 256], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [8], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 3, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, null]}",ok,0.011264000087976456,,1
fp8_gemm,FP8_003,1024x1024x1024,train,1,heuristics,0,8a311ee7bb16499b,"{""atomic_indexing"": [], ""block_sizes"": [128, 64, 256], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [8], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 3, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, null]}",ok,0.011264000087976456,,1
fp8_gemm,FP8_003,1024x1024x1024,train,2,heuristics,0,8a311ee7bb16499b,"{""atomic_indexing"": [], ""block_sizes"": [128, 64, 256], ""indexing"": [""pointer"", ""pointer"", ""pointer""], ""l2_groupings"": [8], ""load_eviction_policies"": ["""", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 3, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, null], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, null]}",ok,0.011264000087976456,,1
fp8_gemm,FP8_004,1536x1536x1536,train,0,heuristics,0,0c1b0f86bc298f05,"{""atomic_indexing"": [], ""block_sizes"": [128, 128, 128], ""epilogue_subtile"": 2, ""indexing"": [""pointer"", ""pointer"", ""tensor_descriptor""], ""l2_groupings"": [8], ""load_eviction_policies"": [""last"", """"], ""loop_orders"": [[0, 1]], ""num_stages"": 5, ""num_warps"": 4, ""pid_type"": ""flat"", ""range_flattens"": [null, null], ""range_multi_buffers"": [null, false], ""range_num_stages"": [0, 0], ""range_unroll_factors"": [0, 2], ""range_warp_specializes"": [null, false]}",ok,0.013344000093638897,,1
