kernel,shape_id,repeat,round,best_so_far_ms,new_configs_tested,improvement_pct
attention,ATN_001,0,0,0.011296000331640244,11,0.0
attention,ATN_001,0,1,0.011264000087976456,15,0.28328826774335997
attention,ATN_001,0,2,0.011264000087976456,15,0.28328826774335997
attention,ATN_001,1,0,0.011296000331640244,11,0.0
attention,ATN_001,1,1,0.011264000087976456,15,0.28328826774335997
attention,ATN_001,1,2,0.011264000087976456,15,0.28328826774335997
attention,ATN_001,2,0,0.011296000331640244,11,0.0
attention,ATN_001,2,1,0.011296000331640244,15,0.0
attention,ATN_001,2,2,0.011264000087976456,15,0.28328826774335997
attention,ATN_002,0,0,0.021727999672293663,11,0.0
attention,ATN_002,0,1,0.019487999379634857,15,10.309279852922355
attention,ATN_002,0,2,0.017535999417304993,15,19.29307952049574
attention,ATN_002,0,3,0.017472000792622566,15,19.587624005251207
attention,ATN_002,1,0,0.02348800003528595,11,0.0
attention,ATN_002,1,1,0.019487999379634857,15,17.02997551788958
attention,ATN_002,1,2,0.017503999173641205,15,25.476842867230072
attention,ATN_002,1,3,0.01744000054895878,15,25.749316575448233
attention,ATN_002,2,0,0.023439999669790268,11,0.0
attention,ATN_002,2,1,0.01945599913597107,15,16.996589547540918
attention,ATN_002,2,2,0.019328000023961067,15,17.542660852204666
attention,ATN_002,2,3,0.01744000054895878,15,25.59726623445458
attention,ATN_003,0,0,0.036031998693943024,11,0.0
attention,ATN_003,0,1,0.03177599981427193,15,11.811720231846394
attention,ATN_003,0,2,0.02768000029027462,15,23.179392502232673
attention,ATN_003,0,3,0.02768000029027462,15,23.179392502232673
attention,ATN_003,1,0,0.03996799886226654,11,0.0
attention,ATN_003,1,1,0.03177599981427193,15,20.496395319227787
attention,ATN_003,1,2,0.02768000029027462,15,30.744592978841677
attention,ATN_003,1,3,0.027648000046610832,15,30.824657642008983
attention,ATN_003,2,0,0.03587200120091438,11,0.0
attention,ATN_003,2,1,0.03177599981427193,15,11.418379932865436
attention,ATN_003,2,2,0.02768000029027462,15,22.836754673254603
attention,ATN_003,2,3,0.02768000029027462,15,22.836754673254603
attention,ATN_004,0,0,0.01744000054895878,11,0.0
attention,ATN_004,0,1,0.01740800030529499,15,0.18348762991121784
attention,ATN_004,0,2,0.01740800030529499,15,0.18348762991121784
attention,ATN_004,1,0,0.01744000054895878,11,0.0
attention,ATN_004,1,1,0.01740800030529499,15,0.18348762991121784
attention,ATN_004,1,2,0.01740800030529499,15,0.18348762991121784
attention,ATN_004,2,0,0.01744000054895878,11,0.0
attention,ATN_004,2,1,0.01740800030529499,15,0.18348762991121784
attention,ATN_004,2,2,0.01539199985563755,15,11.743122871882592
attention,ATN_004,2,3,0.01539199985563755,15,11.743122871882592
attention,ATN_005,0,0,0.025631999596953392,11,0.0
attention,ATN_005,0,1,0.025615999475121498,15,0.0624224488275807
attention,ATN_005,0,2,0.023615999147295952,15,7.86517041728208
attention,ATN_005,0,3,0.021536000072956085,15,15.980023363000347
attention,ATN_005,1,0,0.0297279991209507,11,0.0
attention,ATN_005,1,1,0.025631999596953392,15,13.778254995677344
attention,ATN_005,1,2,0.025631999596953392,15,13.778254995677344
attention,ATN_005,1,3,0.025599999353289604,15,13.885898444984484
attention,ATN_005,2,0,0.025631999596953392,11,0.0
attention,ATN_005,2,1,0.025599999353289604,15,0.1248448976551614
attention,ATN_005,2,2,0.023584000766277313,15,7.990008048063106
attention,ATN_005,2,3,0.021536000072956085,15,15.980023363000347
attention,ATN_006,0,0,0.023552000522613525,11,0.0
attention,ATN_006,1,0,0.023520000278949738,11,0.0
attention,ATN_006,1,1,0.019648000597953796,15,16.462583482455813
attention,ATN_006,1,2,0.01945599913597107,15,17.27891621929922
attention,ATN_006,1,3,0.017472000792622566,15,25.714283225328426
attention,ATN_006,2,0,0.02348800003528595,11,0.0
attention,ATN_006,2,1,0.01945599913597107,15,17.16621633709817
attention,ATN_006,2,2,0.01945599913597107,15,17.16621633709817
attention,ATN_006,2,3,0.019392000511288643,15,17.438690045316328
attention,ATN_007,0,0,0.058400001376867294,11,0.0
attention,ATN_007,0,1,0.058400001376867294,15,0.0
attention,ATN_007,0,2,0.058368001133203506,15,0.054794936488586105
attention,ATN_007,1,0,0.058400001376867294,11,0.0
attention,ATN_007,1,1,0.058368001133203506,15,0.054794936488586105
attention,ATN_007,1,2,0.058400001376867294,15,0.0
attention,ATN_007,2,0,0.05222399905323982,11,0.0
attention,ATN_007,2,1,0.05225599929690361,15,-0.06127497748911406
attention,ATN_007,2,2,0.05222399905323982,15,0.0
attention,ATN_101,0,0,0.01744000054895878,11,0.0
attention,ATN_101,0,1,0.015359999611973763,15,11.92661050179381
attention,ATN_101,0,2,0.013344000093638897,15,23.486240403612975
attention,ATN_101,0,3,0.013344000093638897,15,23.486240403612975
attention,ATN_101,1,0,0.01744000054895878,11,0.0
attention,ATN_101,1,1,0.015296000055968761,15,12.293580421464037
attention,ATN_101,1,2,0.013344000093638897,15,23.486240403612975
attention,ATN_101,1,3,0.013344000093638897,15,23.486240403612975
attention,ATN_101,2,0,0.01740800030529499,11,0.0
attention,ATN_101,2,1,0.01532800029963255,15,11.948529234743681
attention,ATN_101,2,2,0.013344000093638897,15,23.34558904172323
attention,ATN_101,2,3,0.013344000093638897,15,23.34558904172323
attention,ATN_102,0,0,0.03171199932694435,11,0.0
attention,ATN_102,0,1,0.02768000029027462,15,12.714427100923627
attention,ATN_102,0,2,0.025631999596953392,15,19.17255253226825
attention,ATN_102,0,3,0.025567999109625816,15,19.374370420404986
attention,ATN_102,1,0,0.0297279991209507,11,0.0
attention,ATN_102,1,1,0.025472000241279602,15,14.316465976587361
attention,ATN_102,1,2,0.023520000278949738,15,20.882666259317457
attention,ATN_102,1,3,0.01945599913597107,15,34.55328407131334
attention,ATN_102,2,0,0.02969600073993206,11,0.0
attention,ATN_102,2,1,0.025631999596953392,15,13.685348335521244
attention,ATN_102,2,2,0.02377600036561489,15,19.935345591356263
